,Score,AnswerCount,ViewCount,FavoriteCount,CommentCount,Ans_Score,Auth_reputation,Editor_reputation,Words_in_Title,Words_in_Title_Description,Accepted_Ans,Tags_Count,title_tag_ratio,Creation_Days,Last_Edit_Days,Last_Activity_Days,Closed_Days,Category
44,4,2,237,1,2,4,2333,84573,16,170,4,3,8.16,1018,1019,1019,3509,0
45,88,3,34088,23,1,123,12504,21762,9,135,6,2,36.14,463,1217,2997,4064,0
46,3,3,3030,0,4,4,940,1,13,184,6,3,19.47,2581,3220,3319,1946,1
47,1,6,1618,0,3,3,1321,94318,6,70,12,2,10.53,2547,2547,2554,1980,0
48,4,1,455,0,4,2,185,185,3,295,2,3,50.00,3082,3082,3520,1445,1
49,1,1,165,0,6,3,3192,16907,8,94,2,4,39.47,2905,3311,3311,1622,0
50,1,1,96,0,2,1,1219,1219,7,176,2,4,19.64,3570,3570,3571,957,1
51,5,3,15854,0,5,15,677,36052,11,92,6,4,27.96,2942,2942,3649,1585,0
52,1,2,167,0,3,5,1016,4122,7,93,4,3,32.79,2618,2618,2618,1909,1
53,2,4,224,0,4,2,827,827,15,236,8,3,31.48,1420,1420,1420,3107,1
54,3,2,9778,1,1,5,873,71783,5,138,4,1,25.53,2747,2747,2747,1780,0
55,1,5,88,0,2,3,77,129527,9,246,10,3,15.05,3851,3851,3851,676,0
56,3,1,751,0,2,3,147,66466,7,176,2,2,21.43,2143,2144,2144,2384,0
57,5,2,190,0,1,8,2732,2732,13,174,4,3,37.65,3032,3032,3033,1495,1
58,1,3,1618,1,1,2,63,398254,17,109,6,4,48.53,2373,2373,3222,2154,0
59,1,1,37,0,3,0,43,43,13,741,2,2,15.65,4222,4222,4281,305,1
60,1,2,2751,0,2,2,607,39905,8,121,4,1,17.78,1827,1827,1827,2700,0
61,1,1,38,0,1,0,27,38512,13,224,2,3,29.41,3469,3469,3469,1058,0
62,2,2,1957,1,2,6,1681,14661,9,85,4,5,35.16,1567,1568,1568,2960,0
63,1,1,69,0,1,1,85,4735,11,148,2,3,6.98,3664,3664,3664,863,1
64,1,2,81,0,4,0,13,13,7,311,4,4,32.84,4095,4095,4095,432,1
65,15,2,2454,1,11,3,7938,21123,11,280,4,3,19.35,3370,3373,3379,1157,0
66,8,3,334,1,3,6,2289,2289,10,135,6,2,18.46,4257,4372,4372,270,1
67,23,1,1837,3,7,33,1617,121747,8,90,2,2,28.57,3296,3296,3297,1231,0
68,4,1,1691,2,1,2,75,75,5,184,2,4,26.67,3757,3757,3883,770,1
69,3,1,497,0,2,3,793,658158,11,207,2,2,26.00,1962,4121,4121,2565,0
70,1,3,1008,0,6,5,1243,4595,4,136,6,3,32.73,2535,2535,3091,1992,1
71,1,3,36,0,1,1,649,82030,8,140,6,3,22.54,2696,2696,2696,1831,0
72,1,1,592,1,1,3,7856,91284,12,159,2,2,25.71,3775,3775,3775,752,0
73,2,1,82,0,4,0,127,1078,9,291,2,4,28.36,4184,4187,4187,343,1
74,6,1,1722,1,5,3,257,5024,12,116,2,2,32.26,1926,1926,1926,2601,1
75,7,1,1368,2,9,5,9042,9042,7,772,2,3,19.28,3670,3674,3682,857,1
76,2,1,83,0,2,4,61,4193,20,64,2,3,29.41,3649,3704,3704,878,1
77,3,4,11635,1,2,7,68,68,7,111,8,5,16.28,1079,1079,1766,3448,0
78,17,2,26982,5,3,18,193,23781,7,103,4,5,47.92,4065,4283,4382,462,0
79,3,1,1808,0,4,0,33,33,6,99,2,5,23.81,3150,3150,4014,1377,1
80,5,4,102,2,1,5,117,3286,7,150,8,4,35.82,3715,3715,3715,812,1
81,6,1,967,2,6,4,6114,6114,10,137,2,4,26.67,3261,3261,3528,1266,1
82,1,1,2922,0,5,1,994,175229,15,265,2,4,33.59,1400,1620,2243,3127,0
83,1,3,202,0,1,0,427,427,6,202,6,3,44.44,2554,2554,2554,1973,1
84,1,1,325,0,2,2,193,193,8,27,2,3,32.50,2653,2653,2653,1874,1
85,3,1,66,0,7,3,33,33,14,278,2,3,16.49,4132,4132,4136,395,1
86,2,1,198,0,4,1,100,100,11,228,2,2,22.99,3778,3781,3781,749,1
87,177,8,76269,87,3,159,9083,68273,5,147,16,1,28.57,1899,1899,4325,2628,0
88,2,1,2124,0,2,2,97,8226,12,27,2,5,47.54,3317,3317,3317,1210,1
89,1,1,114,0,2,5,335,14544,11,172,2,4,33.33,2665,2665,2665,1862,0
90,46,4,44608,42,2,118,911,88121,7,689,8,3,47.62,1632,1884,4434,2895,0
91,1,1,314,0,2,3,81,1,9,190,2,5,26.92,4158,4344,4158,369,1
92,2,3,140,0,14,2,2809,2809,4,367,6,5,38.10,3158,3158,3158,1369,1
93,1,4,197,0,4,4,1834,92701,10,288,8,2,28.57,1896,3075,3075,2631,0
94,1,3,994,0,3,0,25,352596,4,129,6,1,26.67,2606,2606,2606,1921,0
95,7,1,2391,5,1,8,1013,3624,3,181,2,4,22.22,3446,3948,3948,1081,1
96,1,1,31,0,2,3,99,10281,10,183,2,2,27.50,3983,4361,4361,544,0
97,6,1,293,0,3,9,186,1,8,145,2,1,11.32,2260,3220,2260,2267,1
98,2,1,1234,0,1,2,961,24242,8,85,2,4,30.14,991,991,991,3536,0
99,1,2,564,0,4,2,325,24998,15,75,4,4,40.00,3163,3163,3163,1364,0
100,1,1,4648,0,3,1,3853,3853,8,116,2,5,30.43,2748,2748,2748,1779,0
101,3,1,33,0,1,2,171,4450,4,71,2,2,25.53,4460,4460,4460,67,1
102,1,1,227,0,2,2,75,75,9,335,2,5,35.94,3554,3554,3554,973,1
103,1,3,3614,0,4,3,1419,1419,14,293,6,3,37.17,1686,1686,1688,2841,0
104,28,4,86158,9,4,37,1482,1,7,335,8,4,22.58,1812,3220,4471,2715,0
105,1,1,76,0,2,0,13,12642,7,145,2,1,14.63,3153,3153,3153,1374,0
106,3,2,16909,3,3,6,1641,1641,6,215,4,3,39.34,1499,1499,1939,3028,0
107,1,1,114,0,1,1,23,36853,7,296,2,5,27.08,3724,3924,3924,803,0
108,1,1,490,0,1,3,17,37181,7,139,2,5,11.76,2189,2189,2190,2338,0
109,4,3,374,1,2,2,274,274,5,536,6,5,11.76,3143,3163,3163,1384,1
110,4,3,2347,0,3,3,105,152414,8,105,6,3,16.28,1701,1701,1702,2826,0
111,6,5,2329,3,3,4,8587,361481,16,142,10,2,36.73,141,141,2597,4386,0
112,3,1,1075,0,3,6,143,6475,8,91,2,4,19.78,3971,3971,3971,556,1
113,1,1,266,0,7,1,2023,170061,5,248,2,5,32.56,4020,4021,4021,507,0
114,1,2,452,0,2,2,184756,1,7,132,4,3,32.43,3167,4344,3937,1360,0
115,68,4,64029,25,5,132,15159,94318,5,132,8,2,23.81,1127,3138,4189,3400,0
116,3,2,503,0,1,5,175,5653,9,142,4,2,23.53,1931,1973,1973,2596,1
117,1,1,203,0,2,0,35,35,8,286,2,3,30.23,3282,3282,3282,1245,1
118,1,5,775,2,4,5,1299,351633,8,84,10,3,61.11,134,135,135,4393,0
119,1,1,533,0,3,1,25148,25148,9,54,2,5,34.62,2793,2796,2796,1734,0
120,5,2,904,1,4,3,3789,199111,13,123,4,5,42.74,2603,2623,2623,1924,0
121,1,1,50,0,2,0,13,395,4,136,2,2,52.38,4264,4264,4264,263,1
122,1,1,78,0,5,2,629,1191,8,66,2,4,34.48,3742,4201,4201,785,1
123,4,1,1446,2,1,7,1940,1,20,2201,2,5,30.19,2937,4344,2968,1590,1
124,1,2,1062,0,4,1,29962,29962,8,260,4,4,25.35,2073,2074,2074,2454,0
125,358,9,119178,114,10,505,13541,79804,3,29,18,4,44.12,378,2447,3522,4149,0
126,1,2,1383,0,1,2,13,13,9,131,4,2,37.68,1399,1399,1399,3128,1
127,3,1,1817,0,3,4,1833,1833,7,251,2,4,26.00,3482,3482,3482,1045,1
128,11,5,18979,2,2,18,511,511,11,107,10,2,38.10,1211,1211,1605,3316,0
129,5,1,9435,1,8,10,9069,11188,5,82,2,5,22.22,1876,1876,3039,469,0
130,3,1,882,0,1,2,653,1611,9,206,2,3,35.29,2663,4027,4027,1864,1
131,7,1,1191,3,1,5,1032,1032,4,276,2,5,27.85,1885,1888,1889,2642,1
132,1,1,1234,0,1,9,35,35,12,87,2,3,46.60,3615,3628,3628,912,1
133,1,1,1542,1,4,1,2378,2378,20,283,2,5,23.96,3437,3437,3437,1090,1
134,6,5,152,1,4,2,6873,6873,7,81,10,2,48.00,4031,4031,4031,496,1
135,2,2,3090,0,1,2,33,33,9,180,4,4,41.82,3881,3881,4360,646,1
136,3,2,52,0,5,4,19719,19719,13,34,4,2,16.84,2149,2149,2149,2378,0
137,2,3,78,0,3,3,311,311,3,91,6,3,63.16,3107,3107,3107,1420,1
138,2,2,66,0,4,2,67529,67529,8,368,4,5,23.21,4330,4330,4331,197,0
139,7,5,13482,1,4,8,659,198037,13,84,10,5,38.89,2471,2471,3841,2056,0
140,1,1,80,0,4,1,1827,92166,8,233,2,3,22.78,3598,3599,3599,929,0
141,4,3,16979,2,2,6,2824,70041,6,508,6,3,25.71,1046,1046,1046,3481,0
142,1,3,205,0,5,3,23,91409,9,40,6,3,35.71,3929,3929,3929,598,0
143,1,7,2469,0,4,2,83,83,6,151,14,3,30.77,1421,1421,1672,3106,1
144,1,1,816,0,2,1,5011,5011,5,423,2,5,32.43,3101,3101,3101,1426,1
145,11,1,8961,4,8,5,1258,1258,9,753,2,4,47.83,3131,3132,3898,1396,1
146,17,3,52815,3,2,9,44441,2567,9,39,6,3,36.62,1441,3457,3457,3029,0
147,6,2,4591,0,2,7,369,369,13,698,4,4,27.27,3895,3896,4055,632,1
148,1,1,409,2,3,2,11766,24622,5,299,2,5,14.14,3782,3782,3782,745,1
149,7,1,2353,0,2,10,305,223819,16,65,2,3,25.74,2439,2439,2439,2088,0
150,1,4,149,0,6,3,980,980,15,58,8,4,15.79,2576,2576,2576,1951,1
151,2,5,2730,0,2,3,23,23,18,145,10,3,24.62,1036,1036,1039,3491,1
152,1,1,1769,0,5,4,485,148610,9,169,2,4,28.24,2402,2810,2810,2125,0
153,1,1,41,0,5,0,3156,3156,16,115,2,2,16.98,3593,3593,3593,934,1
154,2,1,146,0,6,2,491,491,11,476,2,2,15.19,3835,3835,3836,692,1
155,1,4,1680,1,1,3,829,829,10,100,8,4,45.10,412,416,1150,4115,1
156,2,2,4490,3,3,0,952,44180,7,372,4,4,52.46,1346,1627,1627,3181,0
157,58,1,27695,35,3,75,864,46818,18,245,2,5,29.85,1728,1755,2671,2799,0
158,1,2,5825,0,1,2,67,17039,8,66,4,1,17.86,2613,2613,3656,1914,0
159,3,1,50,0,2,2,484,484,11,467,2,3,19.51,4308,4311,4313,219,1
160,1,1,145,0,1,0,383,383,11,129,2,2,32.00,1021,1021,1021,3506,1
161,3,2,8567,0,5,1,6222,37014,13,326,4,3,25.26,1426,1426,1427,3101,0
162,1,1,961,0,1,0,1697,47022,7,90,2,4,31.11,2729,2801,2801,1798,0
163,3,1,1688,0,9,3,873,1503,15,335,2,2,20.37,2602,2712,2712,1925,1
164,2,1,2536,0,2,5,5988,5988,6,128,2,2,21.05,2599,2599,2599,1928,0
165,2,1,75,0,3,4,217,217,7,104,2,2,33.90,4152,4152,4152,375,1
166,3,5,3478,2,3,2,1545,1545,7,86,10,5,32.99,1330,2033,2033,3197,1
167,2,2,82,0,1,7,23,108294,14,87,4,2,22.45,4247,4247,4247,280,0
168,2,1,2373,3,5,3,1820,1820,17,192,2,2,12.17,3105,3105,3105,1422,1
169,1,1,86,0,7,1,4259,1,9,276,2,4,28.32,4075,4344,4075,452,1
170,3,1,4671,2,4,3,109,109,7,115,2,4,45.45,3437,3437,3437,1090,1
171,3,2,419,2,12,3,749,749,5,197,4,4,32.00,3386,3386,3387,1141,1
172,1,2,52,0,1,7,71,8112,10,122,4,1,11.59,3531,3531,3531,996,1
173,2,1,684,0,7,1,25,25,11,167,2,2,26.83,3963,3963,3964,564,1
174,1,1,510,1,4,1,73,73,10,571,2,5,50.42,3929,3930,3972,598,1
175,1,1,272,0,2,2,13,10692,6,87,2,4,19.72,3538,3540,3540,989,0
176,14,2,1695,0,1,16,496,30430,10,163,4,4,23.40,3674,3674,4311,853,0
177,2,2,1379,1,4,3,3896,3896,11,141,4,2,40.58,2223,2223,2223,2304,1
178,2,1,190,1,2,1,301,301,8,312,2,2,13.51,1584,1584,1588,2943,1
179,13,4,17967,3,3,6,187,16717,4,39,8,2,50.00,1281,3657,3657,3246,0
180,7,2,5429,1,17,3,12856,1,3,123,4,5,27.96,2957,3220,2959,1570,0
181,2,1,163,0,4,4,294,11711,11,218,2,4,31.11,3514,3514,3514,1013,0
182,1,2,593,1,5,1,3130,3130,10,92,4,2,18.46,2302,2302,2303,2225,1
183,2,1,4507,1,1,4,23,14284,4,637,2,3,44.83,1976,1976,1976,2551,0
184,1,1,1752,2,3,0,13,13,5,452,2,3,30.00,3452,3454,3455,1075,1
185,1,3,136,0,2,1,157,157,8,131,6,5,44.90,4100,4100,4100,427,1
186,1,3,133,0,2,1,573,573,7,94,6,2,20.59,3187,3187,3187,1340,1
187,3,2,58,0,1,0,33,33,20,283,4,5,35.06,4001,4001,4001,526,1
188,2,3,953,0,5,3,5113,240293,10,112,6,3,48.84,2487,2487,2487,2040,0
189,1,1,217,0,3,0,3222,3222,11,249,2,5,36.36,3652,4089,4089,875,1
190,2,2,92,0,1,2,532,91409,10,105,4,4,44.16,4032,4032,4032,495,0
191,2,2,94,0,6,1,107,107,4,228,4,2,36.00,3092,3092,3092,1435,1
192,8,1,4278,3,6,5,77975,853099,15,297,2,3,29.91,667,2103,2103,3860,0
193,3,1,1370,0,1,1,68737,68737,11,232,2,3,42.55,2223,2223,2223,2304,0
194,6,3,9401,1,4,2,10500,10500,7,106,6,3,46.67,859,861,861,3668,0
195,1,1,38,0,2,0,12716,34586,8,120,2,2,25.00,2978,2978,3026,1549,0
196,2,1,80,0,3,4,239,44075,15,130,2,3,33.33,3723,3723,3723,804,0
197,9,3,428,3,5,14,13402,21575,14,362,6,4,31.78,1893,1893,1907,2634,0
198,1,1,231,0,6,1,805,449765,11,79,2,4,25.86,3063,3063,3063,1464,0
199,2,1,169,0,5,4,23,23,12,144,2,5,51.38,4179,4181,4181,348,1
200,4,2,14472,0,3,14,43,43,17,162,4,4,17.05,1618,1620,1620,2909,0
201,2,3,110,0,1,0,41,67865,4,136,6,2,27.27,4049,4049,4283,478,0
202,2,1,1048,0,7,0,23,4889,19,215,2,4,51.28,3649,4403,4403,878,1
203,1,1,112,0,6,1,13,13,8,527,2,3,33.77,4352,4352,4352,175,1
204,2,1,2567,0,1,8,417,12436,17,179,2,2,12.96,2353,2353,2353,2148,0
205,2,4,1120,2,3,7,4472,92701,16,176,8,5,23.14,1940,1940,1947,2587,0
206,12,1,1505,3,4,20,153,153,4,428,2,3,35.29,3339,3339,3339,1188,1
207,4,4,1469,0,1,3,4121,4121,6,78,8,4,17.07,1952,1952,1952,2575,1
208,1,2,388,1,1,0,185,185,22,443,4,4,37.50,882,882,882,3645,1
209,2,2,7679,0,1,3,1151,66146,7,174,4,4,27.16,1712,1712,1712,2815,0
210,1,1,34,0,2,1,47,47,5,57,2,4,49.38,4253,4253,4253,274,1
211,1,2,314,0,2,0,3632,142435,8,293,4,3,51.76,1086,1357,1357,3441,0
212,5,3,3069,0,2,0,11242,1,9,158,6,4,31.17,1634,3220,1659,2893,0
213,2,2,3969,0,3,2,255,6677,9,24,4,3,34.57,3683,3683,4217,844,1
214,1,1,78,0,2,2,334,334,7,114,2,5,25.74,2749,2749,2749,1778,1
215,2,2,2529,0,2,8,604,604,4,333,4,3,39.39,2024,2025,2394,2503,1
216,2,6,1819,0,2,1,35,9382,17,94,12,2,15.22,2721,2721,2721,1806,0
217,12,3,24356,4,2,15,947,947,5,198,6,3,48.48,1435,1435,1435,3092,0
218,3,3,111,0,2,5,585,301163,9,70,6,2,16.39,3127,3127,3127,1400,0
219,1,1,792,0,1,0,231,29372,8,187,2,2,18.75,1954,1954,1954,2573,0
220,4,1,2071,0,2,9,10757,10757,10,191,2,5,27.78,3363,3364,3364,1164,0
221,12,3,837,0,3,7,2613,26956,10,194,6,3,22.47,3986,3987,3987,541,0
222,4,4,102,1,5,2,139,7599,10,125,8,3,35.71,4318,4318,4321,209,1
223,1,2,152,0,3,0,13,13,6,316,4,3,61.36,4426,4427,4429,101,1
224,4,1,4188,0,1,1,2019,28869,10,39,2,4,11.97,1442,1538,2556,3085,0
225,2,1,3841,0,3,1,51701,14480,9,198,2,1,17.07,3369,3369,3369,1158,0
226,2,1,47,1,2,1,110,6511,6,134,2,5,28.24,3527,3528,3528,1000,1
227,39,9,99958,11,1,47,393,66466,8,55,18,3,36.67,1315,1315,3872,3212,0
228,3,2,3303,1,1,2,327,327,6,265,4,5,34.57,3012,3013,3107,1515,1
229,1,1,674,1,3,1,328,328,3,278,2,2,23.26,1793,1930,1930,2734,1
230,11,2,1175,0,8,5,1133,1133,16,87,4,2,34.43,1709,2100,2100,2818,1
231,1,1,34,0,3,3,889,889,14,114,2,2,20.62,2582,2582,2582,1945,1
232,4,3,7629,1,1,4,1337,1337,4,74,6,2,60.47,1525,1525,1698,3002,0
233,1,1,745,0,2,0,13,13,10,120,2,4,44.44,2301,2301,2301,2226,1
234,4,4,101,0,10,1,1650,67923,10,170,8,2,13.89,4088,4088,4089,439,0
235,1,1,6002,0,4,8,2627,68334,8,33,2,3,42.25,3090,3091,4220,1437,0
236,3,1,2250,0,4,4,645,645,11,65,2,5,28.83,2933,2934,2940,1594,1
237,1,1,688,0,5,2,639,639,4,172,2,5,37.38,3242,3242,3242,1285,1
238,3,3,135,0,5,1,3630,3630,13,207,6,1,20.51,1901,1901,1901,2626,1
239,1,1,177,0,1,0,55,55,9,171,2,3,29.85,3944,3944,4357,583,1
240,2,2,1612,0,9,6,1176,13053,9,398,4,4,25.23,2128,2129,2132,2399,0
241,5,1,13248,6,1,11,392,392,9,156,2,3,33.77,2484,2506,2512,2043,0
242,3,1,1229,0,2,1,69,127217,5,100,2,5,20.69,3745,3745,3745,782,0
243,71,1,78647,29,3,150,879,163160,14,236,2,5,21.85,2872,3452,4281,1655,0
244,21,1,1025,2,4,9,3832,1,8,92,2,2,24.00,1415,3220,1415,3112,1
245,4,1,1694,0,4,4,913,15070,7,391,2,5,36.36,3013,3016,3019,1514,0
246,15,2,31582,3,1,30,10753,26807,5,177,4,5,28.57,1929,3752,3752,1208,0
247,3,1,1339,0,1,3,127,5494,10,256,2,3,26.97,2106,2185,2185,2421,1
248,1,1,128,0,2,0,47,47,17,301,2,5,25.95,3862,3862,3862,665,1
249,13,1,5878,0,2,13,1941,1929,8,191,2,4,32.43,3478,3480,3480,1049,1
250,3,2,622,0,1,1,2684,2684,8,291,4,2,26.09,1081,1081,1083,3446,1
251,1,3,77,0,2,1,545,3356,14,263,6,2,25.81,4038,4038,4038,489,1
252,1,1,147,0,1,2,23,24622,23,146,2,5,20.20,4390,4396,4396,137,0
253,4,1,1092,0,3,3,43,43,8,835,2,5,32.69,3779,3779,3779,748,1
254,2,1,4916,0,2,2,5054,331828,13,128,2,4,40.00,2778,2779,2779,1748,0
255,1,1,1220,0,4,2,4867,4867,14,329,2,3,24.79,3128,3128,3129,1399,1
256,1,2,93,0,5,3,2902,2902,5,244,4,3,33.90,2002,2002,2002,2525,1
257,8,4,10353,2,3,4,2455,4959,17,170,8,1,16.09,1473,1473,1473,3054,0
258,2,2,69,0,2,2,525,118345,8,78,4,1,22.58,3870,3870,3870,657,0
259,2,1,60,0,2,1,493,493,6,195,2,4,49.12,4496,4496,4496,31,1
260,6,4,7886,3,2,3,1084,210215,8,129,8,3,30.99,1786,1910,1910,2741,0
261,1,1,49,0,5,0,15,15,25,66,2,2,17.45,3019,3019,3019,1508,1
262,1,2,87,0,7,0,27,27,7,363,4,1,26.42,3856,3856,3856,671,1
263,1,1,42,0,2,1,121,121,7,230,2,1,18.18,4194,4195,4195,333,1
264,1,1,252,0,3,1,13,1,11,647,2,3,19.23,2842,3220,2842,1685,1
265,3,1,548,0,1,4,47668,47668,12,158,2,4,35.05,2174,2174,2200,2353,0
266,2,1,3014,0,3,2,101,170061,8,1534,2,4,27.03,3373,3802,4182,1154,0
267,4,1,291,1,2,1,1893,1893,7,447,2,4,26.67,4116,4122,4124,411,1
268,2,2,1118,0,1,1,1537,84573,7,88,4,5,47.92,1104,1104,1104,3423,0
269,3,1,31,0,2,1,65,2443,11,68,2,5,24.00,3012,3012,3012,1515,1
270,1,2,751,0,3,0,104,104,10,148,4,2,34.09,1673,1673,1673,2854,1
271,1,2,522,0,1,0,303,303,18,181,4,2,27.45,3340,3340,3344,1187,1
272,2,1,71,0,9,1,1901,123685,8,139,2,3,38.36,3782,3782,3782,745,0
273,4,3,4928,0,2,9,173,22094,9,11,6,5,26.67,2575,2575,4253,1952,0
274,3,1,896,1,4,0,1350,1350,10,118,2,4,26.53,3557,3557,3559,970,1
275,5,1,2456,0,1,4,91,91,8,150,2,3,24.74,4222,4223,4328,305,1
276,1,4,1148,0,3,1,771,771,6,1009,8,1,16.33,1146,1146,1146,3381,1
277,3,1,54,0,5,1,695,695,10,183,2,3,17.02,4021,4021,4021,506,1
278,6,1,585,0,1,5,1215,853099,12,87,2,2,28.57,4014,4026,4029,501,0
279,4,1,4909,2,6,5,2920,2920,5,207,2,2,35.29,1548,1548,1554,2979,0
280,2,1,1190,1,3,2,3047,1,15,200,2,2,23.16,2802,3220,2802,1725,1
281,1,1,22,0,2,0,5,5,7,142,2,2,13.79,4459,4459,4459,68,1
282,7,1,4762,1,2,6,10346,10346,10,147,2,4,47.42,2586,3548,3548,1941,0
283,26,1,35092,3,1,33,391,4236,7,69,2,3,33.85,1434,2390,2390,3093,0
284,1,1,1216,1,1,1,25,2652,9,503,2,4,51.11,2312,2312,2312,2215,1
285,2,1,65,0,2,4,35,35,15,260,2,5,48.23,3831,3831,3831,696,1
286,1,1,30,0,2,0,23,92701,12,242,2,1,10.96,4176,4176,4176,351,0
287,1,1,66,1,7,1,75,75,10,411,2,5,25.26,4403,4403,4403,124,1
288,1,2,55,0,2,3,1053,13787,8,198,4,3,24.44,3175,3175,3175,1352,0
289,16,4,960,1,4,5,3699,3699,11,405,8,4,26.45,3969,3972,3972,558,1
290,1,1,1837,0,3,3,105,65943,6,115,2,4,38.81,1578,1578,1578,2949,0
291,1,1,2293,0,1,0,120,1598,7,75,2,3,35.82,1721,1721,1791,2806,1
292,1,1,50,0,6,1,326,326,7,274,2,4,34.62,3222,3222,3222,1305,1
293,22,5,21777,10,2,31,311,1282,7,93,10,4,46.81,1968,2337,4496,2559,0
294,3,1,3765,0,8,3,6841,26687,8,345,2,5,30.11,3326,3388,3388,1201,0
295,58,2,97762,15,4,79,55854,13413,10,209,4,4,39.56,1842,3755,3755,2685,0
296,1,2,38,0,1,2,537,287185,5,129,4,4,37.04,3149,3149,3149,1378,0
297,5,3,5360,2,4,6,7861,331828,13,211,6,5,44.83,1961,1961,1961,2566,0
298,2,1,673,0,4,1,1474,1474,11,198,2,3,32.43,3563,3563,3563,964,1
299,53,6,22355,19,4,33,6404,1,7,217,12,1,29.79,1436,3220,2786,3091,0
300,1,1,86,0,2,1,33,8901,11,58,2,2,37.50,2770,2770,2770,1757,0
301,2,2,889,2,2,1,429,82135,5,234,4,4,40.54,3160,3160,3160,1367,0
302,2,1,51,0,8,0,543,543,11,381,2,2,10.13,3282,3282,3282,1245,1
303,2,1,86,0,7,1,123,13385,13,221,2,3,24.49,4024,4024,4026,503,0
